Jahr,Nationalität,Geschlecht,Familienstatus,Alter,Anzahl
31.12.2018,Ausländer,weiblich,geschieden,0,-
31.12.2018,Ausländer,weiblich,Lebenspartnerschaft,0,-
31.12.2018,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2018,Ausländer,weiblich,Lebenspartner verstorben,0,-
31.12.2019,Deutsche,männlich,ledig,0,343429
31.12.2019,Deutsche,männlich,verheiratet,0,-
31.12.2019,Deutsche,männlich,verwitwet,0,-
31.12.2019,Deutsche,männlich,geschieden,0,-
31.12.2019,Deutsche,männlich,Lebenspartnerschaft,0,-
31.12.2019,Deutsche,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2019,Deutsche,männlich,Lebenspartner verstorben,0,-
31.12.2019,Deutsche,weiblich,ledig,0,326048
31.12.2019,Deutsche,weiblich,verheiratet,0,-
31.12.2019,Deutsche,weiblich,verwitwet,0,-
31.12.2019,Deutsche,weiblich,geschieden,0,-
31.12.2019,Deutsche,weiblich,Lebenspartnerschaft,0,-
31.12.2019,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2019,Deutsche,weiblich,Lebenspartner verstorben,0,-
31.12.2019,Ausländer,männlich,ledig,0,54131
31.12.2019,Ausländer,männlich,verheiratet,0,-
31.12.2019,Ausländer,männlich,verwitwet,0,-
31.12.2019,Ausländer,männlich,geschieden,0,-
31.12.2019,Ausländer,männlich,Lebenspartnerschaft,0,-
31.12.2019,Ausländer,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2019,Ausländer,männlich,Lebenspartner verstorben,0,-
31.12.2019,Ausländer,weiblich,ledig,0,51262
31.12.2019,Ausländer,weiblich,verheiratet,0,-
31.12.2019,Ausländer,weiblich,verwitwet,0,-
31.12.2019,Ausländer,weiblich,geschieden,0,-
31.12.2019,Ausländer,weiblich,Lebenspartnerschaft,0,-
31.12.2019,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2019,Ausländer,weiblich,Lebenspartner verstorben,0,-
31.12.2020,Deutsche,männlich,ledig,0,342079
31.12.2020,Deutsche,männlich,verheiratet,0,-
31.12.2020,Deutsche,männlich,verwitwet,0,-
31.12.2020,Deutsche,männlich,geschieden,0,-
31.12.2020,Deutsche,männlich,Lebenspartnerschaft,0,-
31.12.2020,Deutsche,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2020,Deutsche,männlich,Lebenspartner verstorben,0,-
31.12.2020,Deutsche,weiblich,ledig,0,323743
31.12.2020,Deutsche,weiblich,verheiratet,0,-
31.12.2020,Deutsche,weiblich,verwitwet,0,-
31.12.2020,Deutsche,weiblich,geschieden,0,-
31.12.2020,Deutsche,weiblich,Lebenspartnerschaft,0,-
31.12.2020,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2020,Deutsche,weiblich,Lebenspartner verstorben,0,-
31.12.2020,Ausländer,männlich,ledig,0,53254
